timestamp,direction,port,arb_id,arb_dev_type,arb_mfr,api_class,api_index,device_id,payload_hex,description
2026-03-08T19:52:29.698191,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.718224,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.738199,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.757787,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.777829,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.797823,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 98 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.817828,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 94 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.837798,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 97 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.858316,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 95 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.878355,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 93 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.898359,RX,COM7,0x0205b829,0x2,0x05,0x2e,0x0,41,00 00 98 06 00 19 80 00,"Status frame 0 (new)"
2026-03-08T19:52:29.901355,RX,COM7,0x0205b869,0x2,0x05,0x2e,0x1,41,00 00 00 20 00 41 00 00,"Status frame 1 (new)"
